Row,Column,Similarity
bbc/tech_1863,bbc/tech_2155,1.00
bbc/tech_1864,bbc/tech_2199,1.00
bbc/tech_1865,bbc/tech_2162,1.00
bbc/tech_1866,bbc/tech_2149,0.82
bbc/tech_1867,bbc/tech_2147,1.00
bbc/tech_1868,bbc/tech_2164,1.00
bbc/tech_1870,bbc/tech_2150,1.00
bbc/tech_1871,bbc/tech_2165,1.00
bbc/tech_1872,bbc/tech_2163,0.98
bbc/tech_1874,bbc/tech_2146,1.00
bbc/tech_1878,bbc/tech_2137,1.00
bbc/tech_1882,bbc/tech_2145,1.00
bbc/tech_1884,bbc/tech_2144,1.00
bbc/tech_1885,bbc/tech_2141,1.00
bbc/tech_1887,bbc/tech_2161,1.00
bbc/tech_1889,bbc/tech_2204,1.00
bbc/tech_1890,bbc/tech_2205,1.00
bbc/tech_1898,bbc/tech_2126,1.00
bbc/tech_1902,bbc/tech_2196,1.00
bbc/tech_1904,bbc/tech_2216,1.00
bbc/tech_1906,bbc/tech_2131,1.00
bbc/tech_1912,bbc/tech_2133,1.00
bbc/tech_1913,bbc/tech_2135,1.00
bbc/tech_1917,bbc/tech_2136,1.00
bbc/tech_1918,bbc/tech_2134,0.98
bbc/tech_1919,bbc/tech_2200,1.00
bbc/tech_1921,bbc/tech_2112,1.00
bbc/tech_1926,bbc/tech_2211,1.00
bbc/tech_1939,bbc/tech_2113,1.00
bbc/tech_1941,bbc/tech_2210,1.00
bbc/tech_1949,bbc/tech_1994,1.00
bbc/tech_1950,bbc/tech_1995,0.98
bbc/tech_1951,bbc/tech_2197,1.00
bbc/tech_1952,bbc/tech_1998,1.00
bbc/tech_1953,bbc/tech_2001,0.96
bbc/tech_1954,bbc/tech_2002,1.00
bbc/tech_1955,bbc/tech_1999,1.00
bbc/tech_1956,bbc/tech_2003,1.00
bbc/tech_1969,bbc/tech_1981,0.98
bbc/tech_1970,bbc/tech_1982,1.00
bbc/tech_1972,bbc/tech_1985,1.00
bbc/tech_1973,bbc/tech_2215,0.98
bbc/tech_1976,bbc/tech_2008,1.00
bbc/tech_1978,bbc/tech_2117,1.00
bbc/tech_1979,bbc/tech_2116,1.00
bbc/tech_1986,bbc/tech_2114,1.00
bbc/tech_1988,bbc/tech_1989,1.00
bbc/tech_1990,bbc/tech_2038,1.00
bbc/tech_1992,bbc/tech_2056,1.00
bbc/tech_2000,bbc/tech_2115,1.00
bbc/tech_2016,bbc/tech_2119,1.00
bbc/tech_2034,bbc/tech_2049,1.00
bbc/tech_2035,bbc/tech_2048,0.98
bbc/tech_2042,bbc/tech_2047,0.96
bbc/tech_2050,bbc/tech_2221,1.00
bbc/tech_2051,bbc/tech_2118,1.00
bbc/tech_2057,bbc/tech_2212,1.00
bbc/tech_2083,bbc/tech_2120,1.00
bbc/tech_2086,bbc/tech_2121,1.00
bbc/tech_2093,bbc/tech_2122,1.00
bbc/tech_2102,bbc/tech_2125,1.00
bbc/tech_2108,bbc/tech_2127,1.00
bbc/tech_2109,bbc/tech_2214,1.00
bbc/tech_2110,bbc/tech_2195,1.00
